ストーリー	場所	時代	タイトル	内容	緯度	経度	ストーリー	写真等	注記	出典			
	日本橋	江戸											
													
品川宿	品川宿	江戸	品川宿イントロ	品川宿に到着	35.618358	139.744296	「いやー清やん、ようやく品川や。もう疲れてもたわい。早速旅籠でひと眠りするかい？」「まだ昼前やないかい。旅籠に行ってもやることないから海見にいこ」	https://colbase.nich.go.jp/uploads/collection_item_images/78cd0b114229fea49376a374a89c3cf1.jpg					
品川宿	品川宿	江戸	海岸	舟の数々	35.618037	139.746314	「やい清やん、ぎょうさん大きな船が見えるの」「ちょいと喜いさん、乗ってみるか」、「清やん　船っちゅうモンは、板1枚下は地獄やで」。「板1枚上は極楽やと思わなあかん。歩かんでええさかい、腹減らん。土手で風を浴びんさかい、ほこりに遭わん」	https://upload.wikimedia.org/wikipedia/commons/0/0d/100_views_edo_083.jpg	https://jpsearch.go.jp/item/dignl-2542632 				
品川宿		江戸	海岸	黒船	35.618361	139.744306	「清やん、あの鯨みたいなのはなんなん？煙をモクモク吐きよる」「喜いさん、あれが黒船というのやないかね」「はーご公儀はだいじょうぶかいな」	https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0173/Z0173-177.jpg	https://jpsearch.go.jp/item/arc_nishikie-Z0173_177				
品川宿	品川宿	江戸	海岸	台場を眺める	35.626122	139.769713	「江川とかいうご奉行はんがあそこに見える台場ちゅうのをつくったみたいやなあ」「清やんは物知りやな」	https://jpsearch.go.jp/item/dignl-1875129 					
品川宿	品川宿	江戸	海岸	水鳥	35.6192652	139.7452794	「人間サマはやれ黒船や、やれ攘夷ややら大変やけど、ほれ、見てみい、鳥さんは何くわん顔や」「鳥を見てると腹が減ったわ」「あほ、でもワイもや」	http://dl.ndl.go.jp/info:ndljp/pid/1286925/19					
品川宿	品川宿	江戸	蕎麦屋	蕎麦屋	35.621145	139.741983	「蕎麦を食べてみるかい」「おいさん、蕎麦一つくれるかね」「（蕎麦屋のおやじ）あいよ！」「清さん、えっらい早いな。そして固ったいなー、針金はいっとるんやないかい？」	守貞漫稿					
品川宿	品川宿	江戸	街角	物売り	35.621598	139.741436	「大阪が一番やと思とったけど、こっちも物売りが多いなあ」「雑貨売りに飴売り、こっちはお菓子に籠に水鉄砲、いくら銭あっても足らんわな」	守貞漫稿の物売りの画像をたくさん見せたい					
品川宿	品川宿	江戸	品川遊郭	品川遊郭（土蔵相模）	35.621916	139.740237	「いやー江戸にも別嬪さんが多いな」「これ、喜いやん、目立つやろ、騒ぐんやない」「わい、黙ってたら口の中に虫が湧く性分やねん、あんたも鼻の下延びてんで」。	https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000010/w0000193/w0000000/w0000004.jpg	【品川遊女図）[品川妓楼]など（たくさん見せたい）	https://jpsearch.go.jp/curation/w_lab2019js-qAZ2qnmY9xA#sp7			
品川宿	品川宿	江戸	品川宿	江戸名物	35.622663	139.739644	「ちょいご主人、江戸のうまいもん教えてくれへんか」「それなら良いものがございますよ」「なになに、御府内流行名物案内雙六かい」	http://dl.ndl.go.jp/offer/cts/grp001/contents/detail/strgpfs01_digital007/info:ndljp/pid/1310567/R0000001/1/0_0.jpg?rotate=0&x=0&y=0&tileWidth=1024&tileHeight=1024&time=1568526827523&token=004245de5c7477599ec97b8529bad913817c7d1f695bac301e2ca621eeac2cc1					
品川宿	品川宿	江戸	御殿山と桜	御殿山と桜	35.623542	139.736324	「ちょうど桜の時分やし、寄り道をして御殿山にいくかね」「えっらい人手やなあ」	https://upload.wikimedia.org/wikipedia/commons/b/b0/100_views_edo_028.jpg	http://www.dh-jac.net/db/nishikie/NDL-446-00-011/portal/				
品川宿	品川宿	江戸	泉岳寺	忠臣蔵	35.637548	139.736264	「ここは泉岳寺、遅かりし由良之助ってか」「仇討ちなんてお侍はんは大変やな」「高武蔵守ならぬ吉良上野介の首をそなえた、ちゅうことや。忠義なことやないかい」	http://mfas3.s3.amazonaws.com/objects/SC181645.jpg	http://www.dh-jac.net/db/nishikie/results-big.php?f1=MFA-11.43284&f11=1&enter=portal				
													
													
													
日本橋	日本橋	江戸	日本橋イントロ		35.684115	139.77451	日本橋は越後屋や白木屋をはじめとした商いの街として有名でした。江戸に住む町娘、おたきとふみの仲良し二人組が日本橋で過ごす１日を覗いてみましょう。						
日本橋	日本橋	江戸	魚河岸	魚河岸を出入りする魚河岸衆	35.687443	139.773451	｢ふみ、今日は１日遊び倒すわよ｣｢まずはどこへいくの？｣｢五ツ半刻だからまだ越後屋もあいてない時間よね｣｢うーん、すぐ近くだから魚河岸見に行かない？｣｢いいわね！｣｢ほら、あそこに魚河岸から出てきた振り売りがいるわよ｣｢見てあの脚、かっこいいーあんな人と付き合えたらなぁ｣｢私は火消しのが好きかなぁ｣｢えー魚河岸衆のがかっこいいでしょ｣	https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kunitachi/80/80-1461.jpg					
日本橋	日本橋	江戸		魚河岸で売られている魚	35.684393	139.774932	｢魚河岸といえば魚よね｣｢魚かぁ…今の季節ならうなぎとか？｣｢昨日の夕餉、うなぎだったわね｣｢うらやましいー昨日の夕餉は鯉よ｣｢鯉もおいしいじゃない｣	https://upload.wikimedia.org/wikipedia/commons/4/4a/Yoshitoshi_The_Giant_Carp.jpg	http://dl.ndl.go.jp/info:ndljp/pid/2558314/36 http://dl.ndl.go.jp/info:ndljp/pid/2558314/10				
日本橋	日本橋	江戸	越後屋	かんざし	35.686433	139.773888	｢越後屋による前に新しいかんざしがほしいから見ていっていきたいのよね｣｢いいわよ、時間まだあるし｣ ｢このかんざし、べっこうでかわいい｣｢値段もそんなに高くないし買っちゃえば？｣｢こっちのも漆でかわいい、こっちも…うーん…どっちがいいと思う？｣｢漆かなぁ｣｢じゃあこれください｣	https://colbase.nich.go.jp/uploads/collection_item_images/thumbnail/0d47a54bc0dbfead39b888bccf3c779d.jpg					
日本橋	日本橋	江戸		流行りの着物	35.686433	139.773888	｢いらっしゃい、今日はどんなのをお探しで｣｢そろそろ冬ものの袷がほしいんだけど、冬にオススメのものはどれ？｣｢冬用なら水仙とか、あとこの縞とかどうですかね｣｢もう少し明るい色がいいわね｣｢雪模様のこれはどうです？｣｢うーん、ふみ、これどう？｣｢似合うんじゃない？｣｢柄が大きすぎない？｣｢おたきの顔なら似合うわよ｣						
日本橋	日本橋	江戸		江戸の美人	35.686433	139.773888	｢あーあ、あたしが高嶋屋おひさみたいな絶世の美人だったらこんなに迷わないのに｣｢これだけ着物があると悩むし仕方ないわよ｣｢ふみは気に入ったのないの？｣｢あたしはこの羽織を買うつもり｣｢橙でかわいいわね｣｢でしょう？｣	https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0168/Z0168-483.jpg					
日本橋	日本橋	江戸	中村座	歌舞伎の演目	35.675383	139.768888	｢日本橋といえば越後屋と中村座よね｣｢今日の演目はなんだっけ？｣｢本朝廿四孝って書いてあるわ｣｢八重垣姫が一途で素敵な演目かぁ｣｢あんな恋愛してみたいよね｣｢どうせ恋人にするなら助六みたいな素敵な人がいいなぁ｣	http://mfas3.s3.amazonaws.com/objects/SC127498.jpg					
日本橋	日本橋	江戸		イケメン役者	35.675383	139.768888	｢助六といえば市川團十郎の助六を見てみたいの｣｢豊国の役者絵かっこいいもんね｣｢豊国のもいいけど国貞のもかっこいいのよ、見たことある？｣｢ええ、もちろん！昔の役者だけど三代目市川八百蔵のも絵もかっこよくてオススメよ｣	http://www.dh-jac.net/db/nishikie/results-big.php?f1=kuni80-1077&f11=1&enter=portal					
